//0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		802.00	0	1.3470	0	34.7080	0	27.787	0	208.6	0	60.2	0		8	0.04	0	0.000138	0	2.96	0	7.8311	0	7.5341	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		800.00	0	1.3480	0	34.7080	0	27.787	0	208.5	0	60.2	0	35.00	0	0.04	0	0.000108	0	2.97	0	7.8316	0	7.5346	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		798.00	0	1.3480	0	34.7080	0	27.787	0	208.5	0	60.2	0		8	0.04	0	0.000104	0	2.97	0	7.8314	0	7.5343	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		796.00	0	1.3480	0	34.7080	0	27.787	0	208.5	0	60.2	0		8	0.04	0	0.000101	0	2.97	0	7.8313	0	7.5342	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		794.00	0	1.3480	0	34.7080	0	27.787	0	208.5	0	60.2	0		8	0.04	0	0.000118	0	2.94	0	7.8315	0	7.5342	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		792.00	0	1.3480	0	34.7080	0	27.787	0	208.5	0	60.2	0		8	0.04	0	0.000105	0	2.95	0	7.8318	0	7.5344	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		790.00	0	1.3500	0	34.7080	0	27.787	0	208.4	0	60.2	0		8	0.04	0	0.000143	0	2.97	0	7.8319	0	7.5345	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		788.00	0	1.3510	0	34.7080	0	27.787	0	208.4	0	60.2	0		8	0.03	0	0.000105	0	2.96	0	7.8316	0	7.5342	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		786.00	0	1.3610	0	34.7090	0	27.787	0	208.4	0	60.2	0		8	0.03	0	0.000117	0	2.97	0	7.8316	0	7.5341	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		784.00	0	1.3700	0	34.7090	0	27.786	0	208.2	0	60.2	0		8	0.03	0	0.000105	0	2.98	0	7.8318	0	7.5344	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		782.00	0	1.3760	0	34.7100	0	27.786	0	208.1	0	60.2	0		8	0.04	0	0.000118	0	2.96	0	7.8321	0	7.5348	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		780.00	0	1.3780	0	34.7100	0	27.786	0	208.1	0	60.1	0		8	0.04	0	0.000102	0	2.96	0	7.8318	0	7.5345	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		778.00	0	1.3820	0	34.7100	0	27.786	0	208.0	0	60.1	0		8	0.03	0	0.000104	0	2.96	0	7.8322	0	7.5348	0
0510SoOcn	1	C	02/25/2016	15:45	82.357	-57.413		776.00	0	1.3870	0	34.7100	0	27.786	0	207.8	0	60.1	0		8	0.03	0	0.000105	0	2.98	0	7.8316	0	7.5343	0
