,Lat,Lon,Shape
401,-61.6682197882,113.699239948,1
402,-61.5265231117,113.238434582,1
403,-61.4779409089,112.701416429,1
404,-61.3050914848,112.388321333,1
405,-61.3199248568,111.913260549,1
406,-61.2390204066,111.522600108,1
407,-61.2763060119,110.907980471,1
408,-61.1921376651,110.520959015,1
409,-61.2487870107,109.764960151,1
410,-61.1848527888,109.240543583,1
411,-61.2103119168,108.624669254,1
412,-61.0960931876,108.387714061,1
413,-61.0949621425,107.915380563,1
414,-60.9323471579,107.495757877,1
415,-60.8585780756,106.982954614,1
416,-60.67218605,106.71333567,1
417,-60.6441246799,106.389540334,1
418,-60.6644035062,106.248438453,1
419,-60.8133403169,105.721982083,1
420,-60.8712780681,105.294104258,1
421,-60.8762290851,104.683219752,1
422,-60.7546072101,104.465685366,1
423,-60.7552580081,103.857306575,1
424,-60.6658857089,103.358429629,1
425,-60.6607910053,102.75211975,1
426,-60.4653825802,102.512967019,1
427,-60.3553406068,102.165881434,1
428,-60.1590120377,101.933304093,1
429,-60.1179162082,101.621165746,1
430,-59.9912384847,101.422608395,1
431,-59.9761805048,100.831305646,1
432,-59.8744349721,100.356026249,1
433,-59.85388338,99.7678341336,1
434,-59.7242253976,99.5792999538,1
435,-59.7432436252,98.432186266,1
436,-59.6701944452,97.4069121285,1
437,-59.6971956547,95.6964460317,1
438,-59.730652511,94.988237159,1
439,-59.8366651132,94.146688826,1
440,-59.8417755725,94.0041729407,1
441,-59.8112177253,92.5701550908,1
442,-59.832989802,91.2857243324,1
443,-59.9099232371,89.2838400545,1
444,-59.903181154,88.5679038158,1
445,-59.8143524758,87.5724554732,1
446,-59.6643167705,87.3007089426,1
447,-59.5816380877,86.8830114009,1
448,-59.4342788133,86.7576455241,1
449,-59.3541835476,86.4850195034,1
450,-59.1349988774,86.3714678446,1
451,-58.9826144923,86.1120904392,1
452,-58.7634382906,86.0026965626,1
453,-58.6817841127,85.7382396193,1
454,-58.5338090662,85.6222590713,1
455,-58.4454742395,85.2250417423,1
456,-58.2909654591,84.9774088189,1
457,-58.2004102458,84.585297929,1
458,-58.0515940509,84.4767785172,1
459,-57.9443416292,83.8226219659,1
460,-57.7708507052,83.3213064312,1
461,-57.647652298,82.5457011873,1
462,-57.6288631397,82.2826302412,1
463,-57.6699197278,81.8698976458,1
464,-57.8006823315,81.7001049208,1
465,-57.8502269174,81.4163785199,1
466,-57.9803781636,81.2436354976,1
467,-57.9944056003,80.5597485842,1
468,-58.086771035,79.9842195479,1
469,-57.9671090251,78.1113419604,1
470,-57.9510947533,76.7441275183,1
471,-57.8307964375,75.283623771,1
472,-57.9503443213,75.0858535914,1
473,-57.9821311875,74.7919608094,1
474,-58.100854926,74.591273677,1
475,-58.1313118119,74.2954190838,1
476,-58.3178376676,74.0546040991,1
477,-58.4154162934,73.7180139662,1
478,-58.6008968998,73.4713174636,1
479,-58.6283448476,73.1694340168,1
480,-58.7443542129,72.9579871292,1
481,-58.7704048752,72.654193347,1
482,-58.885493419,72.4397279482,1
483,-58.9101288764,72.1340509075,1
484,-59.0242747061,71.916554617,1
485,-59.0474771679,71.6090233707,1
486,-59.1606582402,71.3884853893,1
487,-59.1590865277,70.947092926,1
488,-59.2472498329,70.59102821,1
489,-59.2425191686,70.1484427303,1
490,-59.3528639301,69.9208604157,1
491,-59.3705524208,69.6085028045,1
492,-59.4798565977,69.3778887624,1
493,-59.4960402423,69.063861444,1
494,-59.604281517,68.8302133911,1
495,-59.6189438137,68.5145566829,1
496,-59.7260998054,68.2778742908,1
497,-59.7392245104,67.9606306379,1
498,-59.8452727929,67.7209156008,1
499,-59.8568439412,67.402129592,1
500,-59.9617620605,67.1593856934,1
501,-59.9148685666,66.5756886074,1
502,-59.9599603297,66.0666469393,1
503,-59.8173084506,65.0952311919,1
504,-59.824834296,64.4568387517,1
505,-59.7006731289,63.6257220786,1
506,-59.7649577769,63.2437511583,1
507,-59.6982655964,62.6718980957,1
508,-59.7593264094,62.2879118391,1
509,-59.6878355732,61.7184968474,1
510,-59.7456553975,61.3327105773,1
511,-59.70441863,60.8901444431,1
512,-59.7947442254,60.6267044043,1
513,-59.7507476646,60.1844486439,1
514,-59.8033377681,59.7949215351,1
515,-59.6456240516,58.9875639728,1
516,-59.6189438137,58.3553409629,1
517,-59.4896716905,57.6803834918,1
518,-59.5723201315,57.4093738146,1
519,-59.5550243307,57.094757077,1
520,-59.6362828069,56.8214883406,1
521,-59.6173438827,56.5065541439,1
522,-59.6971956547,56.2310670324,1
523,-59.6766079938,55.9158824317,1
524,-59.7550366769,55.6382196279,1
525,-59.7327952414,55.3228526842,1
526,-59.8686896266,54.9611120986,1
527,-59.903181154,54.5621985383,1
528,-60.03673712,54.1947431632,1
529,-60.0104571306,53.8775212032,1
530,-60.0839468439,53.5912254322,1
531,-60.0128943357,53.1588508613,1
532,-60.0410745786,52.7560016264,1
533,-59.9668976936,52.3264066602,1
534,-60.0364660535,52.0366943628,1
535,-60.0042297797,51.72170912,1
536,-60.0722718969,51.4301732652,1
537,-60.0383635801,51.1155035663,1
538,-60.2163673408,50.6392917598,1
539,-60.2910056996,50.138675653,1
540,-60.4651068742,49.6521547586,1
541,-60.4262625574,49.3354300858,1
542,-60.4882767358,49.0340719466,1
543,-60.4477434859,48.7179641033,1
544,-60.5081536417,48.4150472785,1
545,-60.4659340014,48.0996321205,1
546,-60.5247297591,47.7952234103,1
547,-60.3831724376,47.2659171353,1
548,-60.3411618609,46.748161547,1
549,-60.194991606,46.2275788321,1
550,-60.3004993948,45.8213885926,1
551,-60.2520641635,45.3074878146,1
552,-60.3032386247,44.7946396625,1
553,-60.1999018781,44.3861401369,1
554,-60.2487837798,44.0776073942,1
555,-60.194991606,43.7724211679,1
